trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,15,11.425171568647315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,0,-42.50719456577623,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
167,False,"{'a': 0.002, 'e': 0.7160537822272085}",20,5,-142.6023595798013,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
168,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,11,1.9086069351273869,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,0,-65.14041654707088,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,0,-27.70909585274593,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.7103482047091773}",25,4,-40.64499609889792,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,3,-69.23817525226093,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
173,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,6,-102.51495849088552,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
174,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,14,5.977643742602536,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-47.45535639811094,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
176,False,"{'a': 0.002, 'e': 0.7032801219763409}",20,0,-164.06237710266691,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
177,False,"{'a': 0.002, 'e': 0.701874967355394}",20,4,-37.53956354666213,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,0,-130.9054864850414,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
179,False,"{'a': 0.002, 'e': 0.6990730750065257}",35,17,-57.003972986287586,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.697676326071031}",30,0,-58.994268941665474,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
181,False,"{'a': 0.002, 'e': 0.696282367841771}",25,0,-17.86714032846862,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.002, 'e': 0.6948911947429106}",30,0,-144.3257895879066,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
